name,tags,zeit_minuten,portionen,zutaten,schritte,bild,tipps,original_url,original_quelle
Lasagne Bolognese,italienisch; pasta; mit-fleisch; ofengericht; für-gäste; aufwendig,60,2,250 g gemischtes Hackfleisch | 1 kleine Zwiebel | 1 Knoblauchzehe | 0.5 Bund glatte Petersilie | 1 EL Olivenöl | 1 EL Tomatenmark | 400 g geschälte Tomaten (1 kleine Dose) | 0.5 EL getrockneter Oregano | 6 Lasagneplatten | 75 g geriebener Käse | Salz | Pfeffer | 15 g Butter | 15 g Mehl | 250 ml Milch | Muskat,"Zwiebel, Knoblauch und Petersilie fein hacken. | Hackfleisch in Olivenöl scharf anbraten, mit Salz und Pfeffer würzen. Zwiebel und Knoblauch zugeben und kurz mitbraten. | Tomatenmark unterrühren und kurz anrösten. Tomaten, Oregano und Petersilie zugeben und alles zugedeckt 30 Min bei mittlerer Hitze köcheln lassen. | Für die Béchamel Butter schmelzen, Mehl einrühren und kurz anschwitzen. Milch nach und nach unter Rühren zugeben, einmal aufkochen und cremig köcheln lassen. Mit Salz, Pfeffer und Muskat abschmecken. | Ofen auf 180 °C Ober-/Unterhitze vorheizen. | In einer kleinen Auflaufform (ca. 15x20 cm) schichten: erst Bolognese, dann abwechselnd Lasagneplatten, Bolognese und Béchamel. Mit Béchamel abschließen und mit Käse bestreuen. | 30 Min backen.",lasagne-bolognese.jpg,Schmeckt am nächsten Tag fast noch besser.,https://www.gaumenfreundin.de/lasagne-bolognese/,Gaumenfreundin
Spargelauflauf mit Kartoffeln und Schinken,ofengericht; mit-fleisch; deutsch; aufwendig,80,2,300 g festkochende Kartoffeln | 400 g grüner Spargel | 60 g Putenschinken (in Scheiben) | 2 EL Butter | 15 g Dinkelvollkornmehl | 190 ml Milch | 60 ml Sahne | 50 g frisch geriebener Gruyère | 1 EL gehackte Petersilie | Salz | Pfeffer | Muskat,"Kartoffeln waschen und mit Schale ca. 20 Min in Salzwasser kochen. Abgießen, abschrecken, pellen und in Scheiben schneiden. | Spargel im unteren Drittel schälen, holzige Enden abschneiden. In leicht gesalzenem Wasser ca. 8 Min garen, abgießen und abtropfen lassen. | Je 3-4 Spargelstangen mit einer Schinkenscheibe umwickeln. | Für die Sauce Butter in einem Topf erhitzen, Mehl darin andünsten. Milch und Sahne zugeben und unter Rühren aufkochen. Käse einrühren und mit Salz, Pfeffer und Muskat abschmecken. | Ofen auf 200 °C Ober-/Unterhitze vorheizen. | Spargel-Schinken-Rollen und Kartoffelscheiben in eine flache Auflaufform schichten. Käsesauce darüber gießen. | Ca. 30 Min gratinieren. Mit Petersilie bestreut servieren.",spargelauflauf.jpg,Schmeckt auch mit Blumenkohl statt Kartoffeln als Low-Carb-Variante.,https://eatsmarter.de/rezepte/spargelauflauf-mit-kartoffeln-und-schinken,EAT SMARTER
Gratinierter Schweinefilet-Apfel-Auflauf mit Currysahne,mit-fleisch; ofengericht; für-gäste; mittel,50,2,400 g Schweinefilet | 2 mittelgroße Äpfel (am besten Boskop) | 125 g Schlagsahne | 80-100 g junger Gouda (gerieben) | 1 EL Pflanzenöl | 1 EL Tomatenmark | 1 TL Currypulver (mild) | Salz | Pfeffer | Thymianzweige zum Garnieren,"Schweinefilet rechtzeitig aus dem Kühlschrank nehmen, damit es Zimmertemperatur hat. Ofen auf 200 °C Ober-/Unterhitze vorheizen und Auflaufform einfetten. | Äpfel waschen, schälen, entkernen und in ca. 2 mm dünne Scheiben schneiden. | Schweinefilet trocken tupfen, in ca. 2 cm dicke Medaillons schneiden und mit Salz würzen. | Öl in einer Pfanne erhitzen. Medaillons portionsweise von beiden Seiten je 1 Min scharf anbraten und in die Auflaufform legen. | Den Bratensatz mit der Sahne ablöschen, kurz aufkochen und Hitze reduzieren. Mit Tomatenmark, Curry, Salz und Pfeffer abschmecken. | Apfelscheiben dekorativ zwischen die Medaillons schichten. | Currysauce darüber gießen, mit Käse bestreuen. | Auf mittlerer Schiene 20-30 Min goldbraun überbacken.",schweinefilet-apfel-auflauf.jpg,"Dazu passen Baguette, Kartoffeln oder Reis sowie ein knackiger Salat.",https://emmikochteinfach.de/gratinierter-schweinefilet-apfel-auflauf-mit-currysahne/,Emmi kocht einfach
Mousse au chocolat,dessert; vegetarisch; romantisch; schnell,30,2,2 Eier (Größe M) | 40 g Zucker | 125 g Zartbitterschokolade | 1 EL Rum (80%) | 200 ml Sahne,"Schokolade über einem warmen Wasserbad schmelzen. | Eigelb und Zucker schaumig schlagen, bis sich der Zucker komplett aufgelöst hat. | Rum einrühren. | Geschmolzene Schokolade unter die Eigelbmasse rühren. | Sahne steif schlagen und vorsichtig unterheben. | Eiweiß steif schlagen und ebenfalls vorsichtig unterheben. | Mindestens 3 Stunden, besser über Nacht, im Kühlschrank fest werden lassen.",mousse-au-chocolat.jpg,Plus Kühlzeit von mindestens 3 Stunden.,,
Tomaten-Knoblauch-Pasta,pasta; vegetarisch; italienisch; schnell,25,2,200 g Pasta nach Wahl | 250 g Kirsch- oder Datteltomaten | 3 Knoblauchzehen | 2 EL Tomatenmark | 200 ml Gemüsebrühe | 30 g Parmesan (plus mehr zum Servieren) | 2 EL Olivenöl | Salz | Pfeffer | optional frisches Basilikum,"Pasta nach Packungsanweisung in Salzwasser bissfest kochen. | Knoblauch in Scheiben schneiden. Tomaten halbieren. | Olivenöl in einer Pfanne erhitzen. Knoblauch und Tomaten anbraten, bis die Tomaten weich werden und Saft ziehen. | Tomatenmark zugeben und kurz mitrösten. Mit Gemüsebrühe ablöschen. | Parmesan einrühren und die Sauce 5-10 Min einkochen lassen, bis sie cremig wird. | Sauce pürieren (Stabmixer), mit Salz und Pfeffer abschmecken. | Pasta zur Sauce geben und durchschwenken. Mit Parmesan und Basilikum servieren.",tomaten-knoblauch-pasta.jpg,,,
Feldsalat mit Pilzen und Trüffelöl,salat; vegetarisch; schnell,15,2,100 g Feldsalat | 200 g braune Champignons | 30 g Parmesan am Stück | 1 EL Olivenöl zum Braten | 1 TL Trüffelöl | 1 EL Weißweinessig | 2 EL Olivenöl fürs Dressing | Salz | Pfeffer,"Feldsalat verlesen, waschen und trocken schleudern. | Pilze putzen und in Scheiben schneiden. | Olivenöl in einer Pfanne erhitzen. Pilze bei mittlerer Hitze goldbraun braten, mit Salz und Pfeffer würzen. Beiseite stellen und etwas abkühlen lassen. | Aus Essig, Olivenöl, Salz und Pfeffer ein Dressing rühren. | Feldsalat mit Dressing anmachen, lauwarme Pilze darauf verteilen. | Parmesan in Hobeln darüber geben und mit Trüffelöl beträufeln.",feldsalat-pilze-trueffel.jpg,,,
Spinatsalat mit Datteln und Granatapfel,salat; vegetarisch; schnell,15,2,100 g Babyspinat | 1 reife Avocado | 4 Medjool-Datteln (entsteint) | 150 g Kirschtomaten | 100 g kernlose Weintrauben | 2 EL Granatapfelkerne | 2 EL Olivenöl | 1 EL Balsamico | 1 TL Honig | Salz | Pfeffer,"Spinat waschen und trocken schleudern. | Avocado halbieren, entkernen, schälen und in Scheiben schneiden. | Datteln in Streifen schneiden. Tomaten halbieren, Weintrauben halbieren. | Aus Olivenöl, Balsamico, Honig, Salz und Pfeffer ein Dressing rühren. | Spinat, Avocado, Datteln, Tomaten und Weintrauben in einer Schüssel mischen. | Mit Dressing anmachen und mit Granatapfelkernen bestreuen.",spinatsalat-datteln-avocado.jpg,,,
Herbstsalat mit Feta und karamellisierten Walnüssen,salat; vegetarisch; schnell,20,2,150 g bunter Salatmix | 120 g Feta | 60 g Walnusskerne | 2 EL Zucker | 3 EL Granatapfelkerne | 2 EL Olivenöl | 1 EL Apfelessig | 1 TL Senf | 1 TL Honig | Salz | Pfeffer,"Salat waschen und trocken schleudern. | Walnüsse in einer trockenen Pfanne ohne Fett anrösten. Zucker darüber streuen und unter Rühren karamellisieren lassen, bis die Nüsse glänzend überzogen sind. Auf Backpapier ausbreiten und auskühlen lassen. | Aus Öl, Essig, Senf, Honig, Salz und Pfeffer ein Dressing rühren. | Salat mit Dressing anmachen, in Schalen anrichten. | Feta darüberbröseln, karamellisierte Walnüsse und Granatapfelkerne darüber streuen.",herbstsalat-feta-walnuesse.jpg,,,
Reis-Bowl mit Veggie-Hack,bowl; vegan; asiatisch; schnell,25,2,150 g Reis (z.B. Jasmin) | 200 g veganes Hack | 1 Stück Ingwer (ca. 2 cm) | 2 Knoblauchzehen | 1 EL Sesamöl | 2 EL Sojasauce | 1 EL Sweet-Chili-Sauce | 1 EL Teriyaki-Sauce | 0.5 Salatgurke | 150 g Kirschtomaten | 1 Avocado | 1 reife Mango | optional Sesam und Frühlingszwiebel,"Reis nach Packungsanweisung kochen. | Ingwer und Knoblauch fein hacken. | Öl in einer Pfanne erhitzen. Ingwer und Knoblauch kurz anbraten, dann Veggie-Hack zugeben und krümelig braten. | Mit Sojasauce, Sweet-Chili und Teriyaki ablöschen und kurz einköcheln lassen. | Währenddessen Gurke, Tomaten, Avocado und Mango würfeln. | Reis in Schalen verteilen, Hack und Gemüse darauf anrichten.",reis-bowl-veggie.jpg,,,
Nudeln mit Tomatensauce,pasta; vegetarisch; italienisch; schnell,25,2,200 g Pasta nach Wahl | 1 Dose geschälte Tomaten (400 g) | 1 kleine Zwiebel | 2 Knoblauchzehen | 2 EL Olivenöl | 1 TL Zucker | Salz | Pfeffer | frisches Basilikum | Parmesan zum Servieren,"Pasta nach Packungsanweisung in Salzwasser bissfest kochen. | Zwiebel und Knoblauch fein würfeln. | Olivenöl in einer Pfanne erhitzen. Zwiebel glasig dünsten, dann Knoblauch kurz mitdünsten. | Tomaten zugeben und mit dem Kochlöffel etwas zerdrücken. Mit Zucker, Salz und Pfeffer würzen. | Sauce bei mittlerer Hitze 10-15 Min einköcheln lassen, bis sie sämig ist. | Basilikum grob zupfen und unter die Sauce mischen. | Pasta abgießen, mit der Sauce vermengen und mit Parmesan servieren.",nudeln-tomatensauce.jpg,"Wenn die Sauce zu sauer schmeckt, noch eine Prise Zucker dazu. Wer mag, gibt am Ende einen Spritzer Sahne oder ein Stück Butter rein.",,
